,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
1229,CHEMBL79049,CCCCOc1c(c[nH]c2nncc12)C(=O)c3c(F)cc(F)cc3F,IC50,3446952,=,50,nM,8,B,CHEMBL1250281,2,CCCCOc1c(C(=O)c2c(F)cc(F)cc2F)c[nH]c2nncc1-2,CHEMBL79049,7.30102999566
1230,CHEMBL574613,CC[S+]([O-])c1ccc(cc1)c2coc3ccc(cc23)c4oc(C)cc4,IC50,2924033,>,10000,nM,8,B,CHEMBL1038775,2,CC[S+]([O-])c1ccc(-c2coc3ccc(-c4ccc(C)o4)cc23)cc1,CHEMBL574613,5
1231,CHEMBL462385,CC(C)n1c(C)ncc1c2nc(Nc3ccc(C(=O)NCCN(C)C)c(F)c3)ncc2F,IC50,2586198,=,2,nM,8,B,CHEMBL1018123,2,Cc1ncc(-c2nc(Nc3ccc(C(=O)NCCN(C)C)c(F)c3)ncc2F)n1C(C)C,CHEMBL462385,8.69897000434
1232,CHEMBL1794054,NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3cccc(CCc4ccncc4)c23)cc1,IC50,498088,=,21,nM,8,B,CHEMBL661123,2,NS(=O)(=O)c1ccc(NN=C2C(=O)Nc3cccc(CCc4ccncc4)c32)cc1,CHEMBL1794054,7.67778070527
1233,CHEMBL101810,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(ccc3F)C(F)(F)F)n2)cc1,IC50,139325,=,1000,nM,8,B,CHEMBL660784,2,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(C(F)(F)F)ccc3F)n2)cc1,CHEMBL101810,6
1234,CHEMBL514197,COc1cc(ccc1O)c2ccc3c(n[nH]c3c2)c4nc5c(cccc5[nH]4)N6CCN(C)CC6,IC50,2506868,=,4.1,nM,9,B,CHEMBL942590,2,COc1cc(-c2ccc3c(-c4nc5c(N6CCN(C)CC6)cccc5[nH]4)n[nH]c3c2)ccc1O,CHEMBL514197,8.38721614328
1235,CHEMBL461140,CN(C)CCOc1ccc(\C=C\c2cc(ccn2)c3cc4C(=O)NC=Nc4[nH]3)cc1,IC50,2584898,=,8200,nM,8,B,CHEMBL955780,2,CN(C)CCOc1ccc(C=Cc2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1,CHEMBL461140,5.08618614762
1236,CHEMBL471791,CN1CCN(CC1)c2cccc3[nH]c(nc23)c4n[nH]c5cc(ccc45)c6ccc(cc6)C(=O)O,IC50,2506882,=,10000,nM,9,B,CHEMBL942590,2,CN1CCN(c2cccc3[nH]c(-c4n[nH]c5cc(-c6ccc(C(=O)O)cc6)ccc45)nc23)CC1,CHEMBL471791,5
1237,CHEMBL271595,NS(=O)(=O)c1ccc(N\C=C\2/C(=O)Nc3ccc4ncsc4c23)cc1,IC50,2110760,=,2.8,nM,8,B,CHEMBL952109,2,NS(=O)(=O)c1ccc(NC=C2C(=O)Nc3ccc4ncsc4c32)cc1,CHEMBL271595,8.55284196866
1238,CHEMBL404504,Clc1cccc(CC(=O)Nc2n[nH]c3ccc(cc23)N4CCCS4(=O)=O)c1,IC50,2082458,=,10,nM,8,B,CHEMBL929003,2,O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,CHEMBL404504,8
