,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
108,CHEMBL385597,COc1cccc(NC(=O)Cc2cc(Nc3ncnc4cc(OCCCN5CCC(CO)CC5)c(OC)cc34)[nH]n2)c1,Ki,1790473,=,1900,nM,9,B,CHEMBL856402,0,COc1cccc(NC(=O)Cc2cc(Nc3ncnc4cc(OCCCN5CCC(CO)CC5)c(OC)cc34)[nH]n2)c1,CHEMBL385597,5.42021640338
109,CHEMBL559900,Cc1cc(Nc2nc(Sc3ccc4ccccc4c3)nc5ccccc25)n[nH]1,Ki,2658082,=,1,nM,8,B,CHEMBL1031294,0,Cc1cc(Nc2nc(Sc3ccc4ccccc4c3)nc3ccccc23)n[nH]1,CHEMBL559900,8.69897000434
110,CHEMBL1090479,CCn1cc(c2ccnc3[nH]c(cc23)c4cccc(CN(C)C)c4)c(n1)c5ccc(NC(=O)N(C)C)cc5,Ki,3294232,=,490,nM,9,B,CHEMBL1108258,0,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,CHEMBL1090479,6.00877392431
111,CHEMBL560630,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(n2)c4ccncc4)cc1,Ki,2658099,<,3,nM,8,B,CHEMBL1031294,0,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(-c3ccncc3)n2)cc1,CHEMBL560630,8.22184874962
112,CHEMBL561421,CC(=O)Nc1ccc(Sc2nc(Nc3cc([nH]n3)C4CC4)c5ccccc5n2)cc1,Ki,2658090,<,1,nM,8,B,CHEMBL1031294,0,CC(=O)Nc1ccc(Sc2nc(Nc3cc(C4CC4)[nH]n3)c3ccccc3n2)cc1,CHEMBL561421,8.69897000434
113,CHEMBL1213077,Cc1cc(Nc2cc(nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)N5CCN(CC(=O)O)CC5)n[nH]1,Ki,3396959,=,20,nM,8,B,CHEMBL1218396,0,Cc1cc(Nc2cc(N3CCN(CC(=O)O)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,CHEMBL1213077,7.39794000867
114,CHEMBL564290,COc1ccc(Sc2nc(Nc3cc(C)[nH]n3)c4ccccc4n2)cc1OC,Ki,2658081,=,17,nM,8,B,CHEMBL1031294,0,COc1ccc(Sc2nc(Nc3cc(C)[nH]n3)c3ccccc3n2)cc1OC,CHEMBL564290,7.46852108296
115,CHEMBL549536,Cc1cc(Nc2nc(nc3ccccc23)c4ccncc4)n[nH]1,Ki,2644567,=,81,nM,8,B,CHEMBL1031294,0,Cc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)n[nH]1,CHEMBL549536,6.79048498546
116,CHEMBL3594180,CCN1CC[C@@H](C1=O)c2cc(Nc3ccnc(n3)N(C)C[C@@H]4CC[C@@H](N)CC4)n[nH]2,Ki,15651920,>,5400,nM,9,B,CHEMBL3595328,0,CCN1CCC(c2cc(Nc3ccnc(N(C)CC4CCC(N)CC4)n3)n[nH]2)C1=O,CHEMBL3594180,4.96657624451
117,CHEMBL210963,CCOc1nc(NC(=O)Cc2cc(OC)c(cc2OC)S(=O)(=O)C)cc(N)c1C#N,Ki,1722965,>,6900,nM,9,B,CHEMBL860192,0,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N,CHEMBL210963,4.8601209136
118,CHEMBL1778662,Cl.CC(CCCC(C)(C)O)Nc1nc(Nc2cc(C)[nH]n2)cc(C)c1C#N,Ki,6204386,=,1.2,nM,8,B,CHEMBL1781278,0,Cc1cc(Nc2cc(C)c(C#N)c(NC(C)CCCC(C)(C)O)n2)n[nH]1,CHEMBL1778662,8.61978875829
119,CHEMBL482778,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(n2)N4CCOCC4)cc1,Ki,2658102,=,1.7,nM,8,B,CHEMBL1031294,0,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCOCC3)n2)cc1,CHEMBL482778,8.46852108296
120,CHEMBL577193,Cc1cnc(Nc2ccccc2)nc1c3c[nH]c(c3)C(=O)N[C@H](CO)c4cccc(Cl)c4,Ki,2939211,=,19,nM,8,B,CHEMBL1044907,0,Cc1cnc(Nc2ccccc2)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,CHEMBL577193,7.42021640338
121,CHEMBL565183,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(n2)C(C)(C)C)cc1,Ki,2658096,=,10,nM,8,B,CHEMBL1031294,0,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(C(C)(C)C)n2)cc1,CHEMBL565183,7.69897000434
122,CHEMBL584754,Cc1ccccc1Nc2ncc(C)c(n2)c3c[nH]c(c3)C(=O)N[C@H](CO)c4ccccc4,Ki,2938540,=,860,nM,8,B,CHEMBL1044907,0,Cc1ccccc1Nc1ncc(C)c(-c2c[nH]c(C(=O)NC(CO)c3ccccc3)c2)n1,CHEMBL584754,5.76447155309
123,CHEMBL1085626,Cc1nc(C)c(s1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,Ki,3305041,=,4,nM,9,B,CHEMBL1119477,0,Cc1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,CHEMBL1085626,8.09691001301
124,CHEMBL377383,CCOc1nc(cc(N)c1Cl)C(=O)NCc2ccc(cc2)S(=O)(=O)C,Ki,1744517,>,6900,nM,9,B,CHEMBL867288,0,CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl,CHEMBL377383,4.8601209136
125,CHEMBL215636,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(Cl)c4)[nH]n3)ncnc2cc1OCCCN5CCC(CO)CC5,Ki,1790460,=,8,nM,9,B,CHEMBL856402,0,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(Cl)c4)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,CHEMBL215636,7.79588001734
126,CHEMBL268345,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(c4)[N+](=O)[O-])[nH]n3)ncnc2cc1OCCCN5CCC(CO)CC5,Ki,1790466,=,39,nM,9,B,CHEMBL856402,0,COc1cc2c(Nc3cc(CC(=O)Nc4cccc([N+](=O)[O-])c4)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,CHEMBL268345,7.10790539731
127,CHEMBL387190,COc1cc2c(Nc3cc(CC(=O)Nc4ccccc4)[nH]n3)ncnc2cc1OCCCN5CCC(CO)CC5,Ki,1790598,=,1600,nM,9,B,CHEMBL856402,0,COc1cc2c(Nc3cc(CC(=O)Nc4ccccc4)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,CHEMBL387190,5.49485002168
128,CHEMBL1778660,Cc1cc(Nc2cc(C)c(C#N)c(SCCCCCC(C)(C)O)n2)n[nH]1,Ki,6204418,=,9.7,nM,8,B,CHEMBL1781278,0,Cc1cc(Nc2cc(C)c(C#N)c(SCCCCCC(C)(C)O)n2)n[nH]1,CHEMBL1778660,7.71219827007
129,CHEMBL564941,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)c4ccccc4n2)cc1,Ki,2658087,=,1,nM,8,B,CHEMBL1031294,0,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)c3ccccc3n2)cc1,CHEMBL564941,8.69897000434
130,CHEMBL3263036,O=C(Nc1cnn(Cc2cccc(c2)C#N)c1)c3n[nH]c4cc(ccc34)c5cn[nH]c5,Ki,15005944,=,72,nM,9,B,CHEMBL3380550,0,N#Cc1cccc(Cn2cc(NC(=O)c3n[nH]c4cc(-c5cn[nH]c5)ccc34)cn2)c1,CHEMBL3263036,6.8416375079
