,f1,f1_id,f1_static,f1_value,f2,f2_id,f2_static,f2_value
15171,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]N1CCCCC1=O,CHEMBL3680584,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,8.82390874094
15172,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]NC,CHEMBL3685238,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8
15173,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]C(F)(F)F,CHEMBL3685309,[*]c1ccccc1C(=O)Nc1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,9.65757731918
15174,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]N(C)C,CHEMBL3670470,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.95860731484
15175,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]N1CCOCC1,CHEMBL3680590,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.7447274949
15176,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]CO,CHEMBL3680571,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.08092190762
15177,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]c1ncc[nH]1,CHEMBL3680556,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,9.5376020021
15178,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395,[*]C(F)(F)F,CHEMBL3670451,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,5.92081875395
15179,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]OC(F)(F)F,CHEMBL3685258,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,9.14266750357
15180,[*]c1noc(C)n1,CHEMBL3680587,[*]c1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,8.76955107862,[*]N1CCN(C)CC1,CHEMBL3685273,[*]c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1,7.92081875395
