,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
2888,CHEMBL1078303,CC1=C(OCc2ccccc2)C=CN(Cc3ccccc3)C1=O,IC50,3223546,=,5300,nM,8,B,CHEMBL1101788,2,Cc1c(OCc2ccccc2)ccn(Cc2ccccc2)c1=O,CHEMBL1078303,5.2757241304
2889,CHEMBL1209639,CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(n1)c3cccc(CNC(=O)C4CC=CC[C@H]4C(=O)O)c3,IC50,3383063,=,14,nM,8,B,CHEMBL1211971,2,CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)C3CC=CCC3C(=O)O)c2)n1,CHEMBL1209639,7.85387196432
2890,CHEMBL1208832,COc1c(NC(=O)C(O)c2ccc(OCCN3CCOCC3)c4ccccc24)cc(cc1NS(=O)(=O)C)C(C)(C)C,IC50,3383680,=,390,nM,8,B,CHEMBL1211566,2,COc1c(NC(=O)C(O)c2ccc(OCCN3CCOCC3)c3ccccc23)cc(C(C)(C)C)cc1NS(C)(=O)=O,CHEMBL1208832,6.40893539297
2891,CHEMBL1209838,O=C(Nc1cc(cc(c1)N2CCOCC2)C#N)C(=O)c3ccc(OCCN4CCOCC4)c5ccccc35,IC50,3383673,=,28,nM,8,B,CHEMBL1211566,2,N#Cc1cc(NC(=O)C(=O)c2ccc(OCCN3CCOCC3)c3ccccc23)cc(N2CCOCC2)c1,CHEMBL1209838,7.55284196866
2892,CHEMBL1091265,Fc1ccc(CN(C(=O)c2ccc3ccccc3c2)c4ccnc(NC5CCCCC5)c4)cc1,IC50,3240603,=,1110,nM,8,B,CHEMBL1107087,2,O=C(c1ccc2ccccc2c1)N(Cc1ccc(F)cc1)c1ccnc(NC2CCCCC2)c1,CHEMBL1091265,5.95467702121
2893,CHEMBL1096092,Fc1ccc(COC2=C(Br)C(=O)N(N=C2)c3c(Cl)cccc3Cl)cc1,IC50,3289187,=,1320,nM,8,B,CHEMBL1110043,2,O=c1c(Br)c(OCc2ccc(F)cc2)cnn1-c1c(Cl)cccc1Cl,CHEMBL1096092,5.87942606879
2894,CHEMBL1087420,COc1cc2C(=NCCc2cc1Cl)c3ccc4ccccc4c3,IC50,3229239,>,15848.93,nM,9,B,CHEMBL1108474,2,COc1cc2c(cc1Cl)CCN=C2c1ccc2ccccc2c1,CHEMBL1087420,4.80000005274
2895,CHEMBL563941,CN1C(=O)C=C(Nc2cc(ccc2C)C(=O)NC3CC3)c4cnn(c14)c5cc(F)ccc5F,IC50,2711323,=,2.9,nM,9,B,CHEMBL1053415,2,Cc1ccc(C(=O)NC2CC2)cc1Nc1cc(=O)n(C)c2c1cnn2-c1cc(F)ccc1F,CHEMBL563941,8.5376020021
2896,CHEMBL468125,C[C@@H](NC1=C(Nc2ccnc(c2)c3ccccc3F)C(=O)C1=O)c4ccccc4,IC50,2638316,=,21660,nM,8,B,CHEMBL1011432,2,CC(Nc1c(Nc2ccnc(-c3ccccc3F)c2)c(=O)c1=O)c1ccccc1,CHEMBL468125,4.66434154771
2897,CHEMBL212964,CNc1ncc2cc(ccc2n1)c3cc(ccc3C)C(=O)Nc4cccc(c4)C(F)(F)F,IC50,2921941,=,3.5,nM,8,B,CHEMBL1047419,2,CNc1ncc2cc(-c3cc(C(=O)Nc4cccc(C(F)(F)F)c4)ccc3C)ccc2n1,CHEMBL212964,8.45593195565
2898,CHEMBL1230171,CCNC(=O)NCc1ccccc1c2cc(nc(NCCN(C)C)n2)c3cnc(NC(C)C)s3,IC50,3499080,=,7,nM,8,B,CHEMBL1259851,2,CCNC(=O)NCc1ccccc1-c1cc(-c2cnc(NC(C)C)s2)nc(NCCN(C)C)n1,CHEMBL1230171,8.15490195999
2899,CHEMBL1271610,CSc1nc(c2ccc(F)cc2)c(c3ccnc(NC(=O)C)c3)n1[C@@H]4CC[C@@H](O)CC4,IC50,3520705,=,320,nM,8,B,CHEMBL1273209,2,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1C1CCC(O)CC1,CHEMBL1271610,6.49485002168
2900,CHEMBL1271943,COCCn1c(SC)nc(c2ccc(F)cc2)c1c3ccnc(NC(=O)CC(F)(F)F)c3,IC50,3520717,=,490,nM,8,B,CHEMBL1273209,2,COCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC(=O)CC(F)(F)F)c1,CHEMBL1271943,6.30980391997
2901,CHEMBL2177154,O=C(CCc1ccccc1)Nc2cccc(Nc3ccc4C(=O)c5ccccc5CCc4c3)c2,IC50,12133468,=,4300,nM,8,B,CHEMBL2184768,2,O=C(CCc1ccccc1)Nc1cccc(Nc2ccc3c(c2)CCc2ccccc2C3=O)c1,CHEMBL2177154,5.36653154442
2902,CHEMBL2182081,Fc1ccc(Nc2ccc3C(=O)CCCCc3c2)cc1NC(=O)c4cocc4,IC50,12133457,=,32,nM,8,B,CHEMBL2184768,2,O=C(Nc1cc(Nc2ccc3c(c2)CCCCC3=O)ccc1F)c1ccoc1,CHEMBL2182081,7.49485002168
2903,CHEMBL2152960,OC[C@H](O)COc1ccc2C(=O)c3ccc(Nc4ccc(F)cc4F)cc3CCc2c1,IC50,12047527,=,5200,nM,9,B,CHEMBL2155533,2,O=C1c2ccc(Nc3ccc(F)cc3F)cc2CCc2cc(OCC(O)CO)ccc21,CHEMBL2152960,5.28399665637
2904,CHEMBL2152938,Nc1ccccc1Nc2ccc3C(=O)c4cc(OC[C@@H](O)CO)ccc4CCc3c2,IC50,12047505,=,170,nM,9,B,CHEMBL2155533,2,Nc1ccccc1Nc1ccc2c(c1)CCc1ccc(OCC(O)CO)cc1C2=O,CHEMBL2152938,6.76955107862
2905,CHEMBL1951415,Nc1nccc(n1)c2c(ncn2C3CCCCC3)c4ccc(F)cc4,IC50,8037536,=,190,nM,8,B,CHEMBL1954391,2,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCCCC2)n1,CHEMBL1951415,6.72124639905
2906,CHEMBL1945720,CN1C(=O)C(=Cc2nnc(c3c(F)cccc3F)n12)c4cc(cc(F)c4C)C(=O)NC5CC5,IC50,8020332,=,18.5,nM,9,B,CHEMBL1948782,2,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1cc2nnc(-c3c(F)cccc3F)n2n(C)c1=O,CHEMBL1945720,7.7328282716
2907,CHEMBL1946335,CCn1c(Nc2ccccc2F)nc3cnc(Nc4ccc(OC)cc4)nc13,IC50,8024468,=,9300,nM,8,B,CHEMBL1947749,2,CCn1c(Nc2ccccc2F)nc2cnc(Nc3ccc(OC)cc3)nc21,CHEMBL1946335,5.03151705145
2908,CHEMBL1946328,COc1ccc(Nc2ncc3nc(Nc4c(F)cccc4F)n(C5CCCC5)c3n2)cc1,IC50,8024461,=,3500,nM,8,B,CHEMBL1947749,2,COc1ccc(Nc2ncc3nc(Nc4c(F)cccc4F)n(C4CCCC4)c3n2)cc1,CHEMBL1946328,5.45593195565
2909,CHEMBL1929225,CC(C)(C)c1cc(C(=O)N2CCNC(=O)CC2)c(NC(=O)Nc3cccc(Cl)c3)s1,IC50,7959607,=,42,nM,8,B,CHEMBL1932272,2,CC(C)(C)c1cc(C(=O)N2CCNC(=O)CC2)c(NC(=O)Nc2cccc(Cl)c2)s1,CHEMBL1929225,7.3767507096
2910,CHEMBL1916344,Cc1ccccc1c2c3nccc(c4ccc(F)cc4F)c3cc[n+]2[O-],IC50,7939479,=,68,nM,9,B,CHEMBL1918093,2,Cc1ccccc1-c1c2nccc(-c3ccc(F)cc3F)c2cc[n+]1[O-],CHEMBL1916344,7.16749108729
2911,CHEMBL1911191,Cc1onc(n1)c2ccc(C)c(c2)c3ccc4c(NC(=O)C45CCCC5)c3,IC50,7848074,=,583,nM,9,B,CHEMBL1913342,2,Cc1nc(-c2ccc(C)c(-c3ccc4c(c3)NC(=O)C43CCCC3)c2)no1,CHEMBL1911191,6.23433144524
2912,CHEMBL1288160,O=C(Cc1cccc2cnccc12)Nc3scnc3c4cscn4,IC50,3603160,>,50000,nM,8,B,CHEMBL1291192,2,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cscn1,CHEMBL1288160,4.30102999566
2913,CHEMBL122414,OCc1cccc(n1)c2nn3CCCc3c2c4ccc(F)cc4,IC50,1221781,>,20000,nM,8,B,CHEMBL734081,2,OCc1cccc(-c2nn3c(c2-c2ccc(F)cc2)CCC3)n1,CHEMBL122414,4.69897000434
2914,CHEMBL222267,CCNC(=O)c1ccc(C)c(Nc2nc(N[C@H]3CCNC3)nc(n2)N(C)CC(C)(C)C)c1,IC50,1838272,=,31,nM,9,B,CHEMBL904269,2,CCNC(=O)c1ccc(C)c(Nc2nc(NC3CCNC3)nc(N(C)CC(C)(C)C)n2)c1,CHEMBL222267,7.50863830617
2915,CHEMBL426902,CC(C)CN(C)c1nc(N[C@H]2CCNC2)nc(Nc3cc(ccc3C)C(=O)N)n1,IC50,1838275,=,28,nM,9,B,CHEMBL904269,2,Cc1ccc(C(N)=O)cc1Nc1nc(NC2CCNC2)nc(N(C)CC(C)C)n1,CHEMBL426902,7.55284196866
2916,CHEMBL1929207,CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)c(s1)N4CCS(=O)(=O)CC4,IC50,7959589,=,520,nM,8,B,CHEMBL1932272,2,CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)c(N2CCS(=O)(=O)CC2)s1,CHEMBL1929207,6.28399665637
2917,CHEMBL521265,CSc1nc(c2cccc(c2)C(F)(F)F)c([nH]1)c3ccnc(NCc4ccccc4)c3,IC50,2451212,=,282,nM,8,B,CHEMBL1013888,2,CSc1nc(-c2cccc(C(F)(F)F)c2)c(-c2ccnc(NCc3ccccc3)c2)[nH]1,CHEMBL521265,6.54975089168
2918,CHEMBL1271774,CSc1nc(c2ccc(F)cc2)c(c3ccnc(NC(=O)C)c3)n1CCCCl,IC50,3520710,=,17,nM,8,B,CHEMBL1273209,2,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1CCCCl,CHEMBL1271774,7.76955107862
2919,CHEMBL487864,CC(=O)Nc1ccc(NC(=O)c2cc(ccc2C)C(=O)Nc3cccc(c3)C(F)(F)F)cn1,IC50,2449692,=,45,nM,8,B,CHEMBL946387,2,CC(=O)Nc1ccc(NC(=O)c2cc(C(=O)Nc3cccc(C(F)(F)F)c3)ccc2C)cn1,CHEMBL487864,7.34678748622
2920,CHEMBL517287,CC(C)Nc1cc(ccn1)c2[nH]c(SC[C@H](O)CO)nc2c3ccc(F)cc3,IC50,2361739,=,6,nM,8,B,CHEMBL972711,2,CC(C)Nc1cc(-c2[nH]c(SCC(O)CO)nc2-c2ccc(F)cc2)ccn1,CHEMBL517287,8.22184874962
2921,CHEMBL303798,Cc1ccccc1n2nc(cc2NC(=O)Nc3cccc(Cl)c3Cl)C(C)(C)C,IC50,1151185,=,43,nM,8,B,CHEMBL731498,2,Cc1ccccc1-n1nc(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1Cl,CHEMBL303798,7.36653154442
2922,CHEMBL198821,CN(C)CCNC(=O)c1cccc(c1)c2[nH]nc3cc(Nc4ccccc4Cl)ccc23,IC50,1617428,=,16,nM,9,B,CHEMBL881763,2,CN(C)CCNC(=O)c1cccc(-c2[nH]nc3cc(Nc4ccccc4Cl)ccc23)c1,CHEMBL198821,7.79588001734
2923,CHEMBL438628,CC(C)(O)CCc1cccc(c1)C(=O)c2cnn(c2N)c3ccc(F)cc3,IC50,1689020,=,590,nM,9,B,CHEMBL859283,2,CC(C)(O)CCc1cccc(C(=O)c2cnn(-c3ccc(F)cc3)c2N)c1,CHEMBL438628,6.22914798836
2924,CHEMBL330196,Nc1nccc(n1)c2c(ncn2C3CCOCC3)c4ccc(F)cc4,IC50,396285,=,230,nM,8,B,CHEMBL735050,2,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCOCC2)n1,CHEMBL330196,6.63827216398
2925,CHEMBL2316204,CC(=O)Oc1ccc2CCc3cc(Nc4ccc(F)cc4F)ccc3C(=O)c2c1,IC50,12641837,=,29,nM,9,B,CHEMBL2317232,2,CC(=O)Oc1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2,CHEMBL2316204,7.5376020021
2926,CHEMBL2182105,Cc1ccc(NC(=O)c2ccc(cc2)C(C)(C)C)cc1Nc3ccc4C(=O)CCCCc4c3,IC50,12133483,=,2700,nM,8,B,CHEMBL2184768,2,Cc1ccc(NC(=O)c2ccc(C(C)(C)C)cc2)cc1Nc1ccc2c(c1)CCCCC2=O,CHEMBL2182105,5.56863623584
2927,CHEMBL129112,COC(=O)c1cccc(Cl)c1N2C(=O)NCc3nc(Sc4ccc(F)cc4)ccc23,IC50,361116,=,80,nM,8,B,CHEMBL735052,2,COC(=O)c1cccc(Cl)c1N1C(=O)NCc2nc(Sc3ccc(F)cc3)ccc21,CHEMBL129112,7.09691001301
