,CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,ACTIVITY_ID,RELATION,STANDARD_VALUE,STANDARD_UNITS,CONFIDENCE_SCORE,ASSAY_TYPE,ASSAY_CHEMBLID,assay_rank,smiles,ID,pIC50
631,CHEMBL3706831,COCCOc1cc2ncnc(NC3=CC(=O)C(=CC3=O)N4CC4C)c2cc1OC,IC50,1656177,>,1000,nM,9,B,CHEMBL864515,2,COCCOc1cc2ncnc(NC3=CC(=O)C(N4CC4C)=CC3=O)c2cc1OC,CHEMBL3706831,6
632,CHEMBL3622957,Cc1nn(cc1CN2CC[C@@H](O)C2)c3ccnc(Nc4ccc5c(c4)c(Cl)c(C)n5C)n3,IC50,16354397,=,1000,nM,9,B,CHEMBL3707826,2,Cc1nn(-c2ccnc(Nc3ccc4c(c3)c(Cl)c(C)n4C)n2)cc1CN1CCC(O)C1,CHEMBL3622957,6
633,CHEMBL3694678,CCNc1nnc(s1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4,IC50,15785237,=,8.5,nM,9,B,CHEMBL3705513,2,CCNc1nnc(-c2ccn3c(-c4cccc(NC(=O)NCC(F)(F)F)c4)cnc3c2)s1,CHEMBL3694678,8.07058107429
634,CHEMBL458532,Brc1cccc(NC(=O)c2nscc2NCc3ccc4ccccc4n3)c1,IC50,2602393,>,10000,nM,8,B,CHEMBL1034022,2,O=C(Nc1cccc(Br)c1)c1nscc1NCc1ccc2ccccc2n1,CHEMBL458532,5
635,CHEMBL3125892,CC(C)(C#N)c1cccc(c1)C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)sc4c3[N+](=O)[O-])c2,IC50,13948267,=,70,nM,9,B,CHEMBL3129557,2,CC(C)(C#N)c1cccc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)sc4c3[N+](=O)[O-])c2)c1,CHEMBL3125892,7.15490195999
636,CHEMBL3671510,CC(C)NC(=O)NCCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C,IC50,15813542,=,895,nM,9,B,CHEMBL3705420,2,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)NC(C)C,CHEMBL3671510,6.04817696468
637,CHEMBL512933,CNc1nccc(Nc2ccc(cc2)c3nc4ccccc4s3)n1,IC50,2270434,=,8900,nM,8,B,CHEMBL964948,2,CNc1nccc(Nc2ccc(-c3nc4ccccc4s3)cc2)n1,CHEMBL512933,5.05060999336
638,CHEMBL516836,FC(F)(F)c1cccc(NC(=O)c2nn[nH]c2NCc3ccncc3)c1,IC50,2268432,=,5000,nM,8,B,CHEMBL960809,2,O=C(Nc1cccc(C(F)(F)F)c1)c1nn[nH]c1NCc1ccncc1,CHEMBL516836,5.30102999566
639,CHEMBL3702603,Cc1cccc(NC(=O)c2cccc(c2)N3CCc4nc(N)ncc4C3)c1,IC50,15852021,=,114,nM,9,B,CHEMBL3706174,2,Cc1cccc(NC(=O)c2cccc(N3CCc4nc(N)ncc4C3)c2)c1,CHEMBL3702603,6.94309514866
640,CHEMBL3297895,Cc1oc2nc(C)nc(Nc3ccc(Cl)cc3)c2c1,IC50,14752148,=,70.2,nM,9,B,CHEMBL3299341,2,Cc1nc(Nc2ccc(Cl)cc2)c2cc(C)oc2n1,CHEMBL3297895,7.15366288787
641,CHEMBL3589812,Fc1ccc(NC(=O)Nc2ccc(cc2)\N=C\3/C(=O)Nc4ccc(Cl)cc34)cc1,IC50,15637435,=,3920,nM,9,B,CHEMBL3590864,2,O=C(Nc1ccc(F)cc1)Nc1ccc(N=C2C(=O)Nc3ccc(Cl)cc32)cc1,CHEMBL3589812,5.40671393298
642,CHEMBL3690509,Cc1oc(nn1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NC5CC5)c4,IC50,15785179,=,700,nM,9,B,CHEMBL3705513,2,Cc1nnc(-c2ccn3c(-c4cccc(NC(=O)NC5CC5)c4)cnc3c2)o1,CHEMBL3690509,6.15490195999
643,CHEMBL256974,NC(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,IC50,2167859,=,129,nM,8,B,CHEMBL924759,2,NC(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,CHEMBL256974,6.8894102897
644,CHEMBL3116440,COc1cc2c(Oc3ccc(N\C=C\4/C(=O)NC(=O)N(C4=O)c5ccc(C)cc5)cc3F)ccnc2cc1OCCCN6CCCC6,IC50,13902313,=,384.1,nM,9,B,CHEMBL3118139,2,COc1cc2c(Oc3ccc(NC=C4C(=O)NC(=O)N(c5ccc(C)cc5)C4=O)cc3F)ccnc2cc1OCCCN1CCCC1,CHEMBL3116440,6.41555569283
645,CHEMBL1086932,Cc1c(cnn1c2ccccc2)C(=O)Nc3ccc(Oc4ccnc5cc(sc45)c6cn(C)cn6)c(F)c3,IC50,3294586,=,2000,nM,8,B,CHEMBL1103916,2,Cc1c(C(=O)Nc2ccc(Oc3ccnc4cc(-c5cn(C)cn5)sc34)c(F)c2)cnn1-c1ccccc1,CHEMBL1086932,5.69897000434
646,CHEMBL183171,Clc1ccc(cc1)c2oc3ncnc(NC(=O)C4CCCC4)c3c2,IC50,1441453,>,20000,nM,8,B,CHEMBL833502,2,O=C(Nc1ncnc2oc(-c3ccc(Cl)cc3)cc12)C1CCCC1,CHEMBL183171,4.69897000434
647,CHEMBL238719,Cc1noc(NCc2ccncc2)c1C(=O)Nc3ccc(cc3)C(C)(C)C,IC50,2018109,=,420,nM,8,B,CHEMBL885900,2,Cc1noc(NCc2ccncc2)c1C(=O)Nc1ccc(C(C)(C)C)cc1,CHEMBL238719,6.3767507096
648,CHEMBL184997,CN(C(=O)Nc1cccc(C)c1)c2ccc(cc2)c3cccc4C(=O)NCc34,IC50,1442724,=,1100,nM,9,B,CHEMBL829417,2,Cc1cccc(NC(=O)N(C)c2ccc(-c3cccc4c3CNC4=O)cc2)c1,CHEMBL184997,5.95860731484
649,CHEMBL372960,CCc1sc2ncnc(N)c2c1c3ccc(NC(=O)NC4CCCCC4)cc3,IC50,1609122,=,170,nM,9,B,CHEMBL871626,2,CCc1sc2ncnc(N)c2c1-c1ccc(NC(=O)NC2CCCCC2)cc1,CHEMBL372960,6.76955107862
650,CHEMBL513680,Cn1nc(C(=O)c2ccccc2NCc3ccc4cn[nH]c4c3)c5ccccc15,IC50,2564651,=,300,nM,8,B,CHEMBL976315,2,Cn1nc(C(=O)c2ccccc2NCc2ccc3cn[nH]c3c2)c2ccccc21,CHEMBL513680,6.52287874528
651,CHEMBL3628802,Fc1ccc(Oc2ncnc3sc4CCCCc4c23)cc1Cl,IC50,15759994,=,3500,nM,9,B,CHEMBL3631056,2,Fc1ccc(Oc2ncnc3sc4c(c23)CCCC4)cc1Cl,CHEMBL3628802,5.45593195565
652,CHEMBL566621,Fc1cc(NC(=O)CC(=O)Nc2ccccc2)ccc1Oc3ccnc4ccsc34,IC50,2989868,=,200,nM,8,B,CHEMBL1050654,2,O=C(CC(=O)Nc1ccc(Oc2ccnc3ccsc23)c(F)c1)Nc1ccccc1,CHEMBL566621,6.69897000434
653,CHEMBL479079,COc1cc(Nc2nccc(Nc3ccc4c(C)n[nH]c4c3)n2)cc(OC)c1OC,IC50,2561540,=,6.3,nM,8,B,CHEMBL981071,2,COc1cc(Nc2nccc(Nc3ccc4c(C)n[nH]c4c3)n2)cc(OC)c1OC,CHEMBL479079,8.20065945055
654,CHEMBL1952362,COc1ccc(cc1\C=C\c2ccc(Cl)cc2)C(=O)N,IC50,8040254,>,50000,nM,8,B,CHEMBL1955118,2,COc1ccc(C(N)=O)cc1C=Cc1ccc(Cl)cc1,CHEMBL1952362,4.30102999566
655,CHEMBL3639469,C[C@@H](Nc1nc(Nc2ccc(c(C)c2)S(=N)(=O)C)ncc1Br)C(C)(C)O,IC50,16319347,=,45,nM,9,B,CHEMBL3707963,2,Cc1cc(Nc2ncc(Br)c(NC(C)C(C)(C)O)n2)ccc1S(C)(=N)=O,CHEMBL3639469,7.34678748622
